Original Prompt,Best Prompt
Write me a story,Unleash your creative prowess and pen a literary masterpiece that transcends the boundaries of reality.
Answer a question,"Embark on a literary odyssey, where the written word becomes a canvas upon which you paint a mesmerizing tale."
Write an essay,"Conjure a spellbinding saga, rich with vivid characters and intricate plotlines that captivate the mind."
Generate some code,Provide a comprehensive response to an inquiry
Write me a story,Unleash the power of your creative prowess and pen a literary masterpiece that captures the essence of life's complexities and triumphs through the medium of storytelling.
Answer a question,Expound upon an interrogative statement by furnishing an exhaustive reply
Write an essay,"Develop an analytical and eloquent discourse that examines a particular concept or issue from multiple perspectives, incorporating substantiated claims, rhetorical devices, and a cohesive organizational structure."
Generate some code,Develop a sequence of executable statements or commands in a computer-readable format to carry out a desired operation or process
Tell a story,"Tap into your narrative skills and craft a gripping story that enthralls the reader, drawing them into a world of your own creation, rich with intrigue and depth."
Write an email,Author a coherent and polished email correspondence that aligns with accepted norms and best practices for digital workplace interactions
Summarize a text,"Craft a succinct yet insightful distillation of a text's core narrative, ideas, and salient details, encapsulating its essence while preserving its nuances and depth."
Translate some text,Render the meaning of a textual passage in a different linguistic form
Write a poem,"Orchestrate a harmonious symphony of words, meticulously arranged to elicit a profound emotional response, transcending the boundaries of mere language and elevating the human spirit through the art of poetry."
Write a script for a video,"Craft a comprehensive narrative screenplay intended for visual adaptation, meticulously detailing character arcs, plot progression, and scene descriptions to facilitate the production of a cinematic or televisual work."
Proofread a text,"Undertake a thorough scrutiny of a literary composition, meticulously evaluating its content and structure, and implementing necessary modifications to enhance its quality and conformity to accepted standards."
Give some ideas,Present multiple conceptual frameworks or strategies to tackle the challenge.
Create a resume,"Construct a compelling narrative that encapsulates your professional identity, showcasing your expertise, achievements, and potential contributions to prospective organizations."
Answer a technical question,Impart a substantive and erudite explication to a question concerning a technical or technological area of inquiry
Write a blog post,"Create a engaging and informative piece of content for your blog, leveraging your expertise and storytelling abilities to captivate your audience's interest"
Write a report,Author a substantive narrative account encapsulating the relevant information and insights derived from a designated area of inquiry
Generate a social media post,"Conceptualize a strategic and impactful social media update that aligns with your brand's values, resonates with your target audience, and drives measurable engagement across multiple online channels."
Help with homework,Offer support in navigating the challenges and requirements of my scholastic endeavors
Write a review,"Formulate a critique analyzing the strengths, weaknesses, and overall quality of a given item or encounter"
Explain a concept,Elucidate a theoretical construct with comprehensive detail and insightful analysis.
Write an advertisement,Craft a compelling promotional piece aimed at capturing the attention and interest of your target audience
Generate some dialogue,Craft a series of conversational exchanges between two or more fictional characters
Write a speech,"Develop a cohesive and thought-provoking spoken piece, rich in content and delivery techniques, meant to capture the attention and imagination of those in attendance"
Create a lesson plan,"Construct a meticulously planned educational framework encompassing content organization, delivery strategies, proficiency gauging mechanisms, and supplemental aids to foster a holistic and engaging learning process."
Write some song lyrics,"Pen a lyrical composition that encapsulates the essence of life's joys, sorrows, and everything in between, using metaphor and imagery to create a musical narrative."
Give travel advice,"Offer a comprehensive guide for crafting an unforgettable journey, leveraging your deep understanding of diverse destinations, cultural nuances, and practical travel logistics."
Create a character profile,"Formulate an immersive character dossier that captures the individual's visual essence, intricate persona, lived experiences, core values, and envisioned accomplishments."
Help write a research paper,"Collaborate in the creation of a well-researched, critically analyzed, and rigorously structured academic work intended for peer review and dissemination within the scientific community"
Tell a joke,Delight us with a droll account or ingenious turn of phrase purposed to stimulate merriment
Solve a math problem,"Utilize arithmetic, algebraic, or other mathematical methods to find the solution to a posed mathematical problem"
Create a quiz,"Craft a self-paced, question-based examination tool encompassing a range of topics, with the purpose of enabling learners to assess their own comprehension and identify areas requiring further reinforcement"
Give a cooking recipe,Furnish a meticulous account of the requisite elements and sequential actions indispensable for the successful execution of a particular culinary endeavor.
Give fitness advice,"Propose personalized fitness plans integrating cardiovascular, strength training, and flexibility components alongside nutritional counseling to support sustainable fitness pursuits"
Write a letter,Compose an epistolary communication
Analyze data,"Undertake a rigorous exploration of the given information, employing various analytical techniques to extract valuable insights and uncover hidden narratives."
Help create a business plan,"Provide guidance in crafting a meticulously researched and well-structured document that delineates the business concept, industry landscape, competitive advantages, revenue models, resource requirements, and risk mitigation strategies for a proposed entrepreneurial endeavor."
Write a user manual,"Develop a user-centric manual that thoroughly explains the capabilities, configurations, and best practices associated with a specific offering, enabling individuals to leverage its full potential seamlessly."
Give mental health tips,"Share insights and recommendations on nurturing a harmonious relationship with oneself, addressing emotional vulnerabilities, and cultivating a supportive environment conducive to psychological growth and well-being"
Write dialogue for a game,"Develop rich and nuanced dialogues that seamlessly integrate with gameplay mechanics, driving narrative progression while preserving player autonomy"
Create a study guide,"Formulate a concise yet thorough reference document that encapsulates the fundamental principles, definitions, and illustrative examples related to a particular field of knowledge, enabling efficient revision and knowledge retention for upcoming evaluations or examinations."
Write a product description,"Construct a vivid and enticing product profile that skillfully conveys the product's exceptional characteristics, practical utility, and potential to enrich the consumer's life or business operations."
Give relationship advice,"Impart wisdom on the art of building and sustaining profound emotional ties, guiding individuals through the intricacies of human relationships."
Write some marketing copy,"Construct a captivating and informative marketing narrative that effectively highlights the key features, advantages, and differentiating factors of a product or service, inspiring interest and driving conversions among the target market."
Help plan an event,"Kindly assist me in orchestrating a comprehensive event encompassing all requisite aspects such as venue procurement, guest list curation, catering arrangements, entertainment coordination, and logistical planning."
Give a plot idea,"Formulate an innovative and multi-layered plot idea that seamlessly integrates character development, thematic exploration, and narrative tension."
Give investment advice,"Propose a tailored investment plan that aligns with the client's financial objectives, risk profile, and investment constraints, considering factors such as age, income, and investment timeline."
Create a tutorial,"Formulate a sequential learning aid that methodically introduces and elucidates the key elements of a particular domain, catering to diverse learning styles and levels of expertise."
Draft a contract,"Construct a contractual instrument that encapsulates the negotiated terms, clauses, and warranties that will regulate the behavior and obligations of the contracting entities."
Give career advice,Share expert perspectives on cultivating a successful and rewarding professional trajectory.
Create rules for a board game,"Develop a comprehensive set of guidelines and regulations that govern the mechanics, objectives, and gameplay of a novel tabletop gaming experience."
Write an FAQ,"Craft a repository of frequently posed questions and their corresponding in-depth answers, designed to proactively address prevalent areas of confusion or knowledge gaps."
Give health tips,"Suggest strategies for nurturing a balanced and health-conscious lifestyle, addressing areas such as nutrition, physical activity, mindfulness, and self-care routines."
Generate a tagline,"Create a succinct and attention-grabbing phrase that crystallizes the brand identity, positioning, and promise into a memorable and impactful tagline"
Write a grant proposal,"Construct a persuasive grant proposal that effectively communicates the significance, innovation, and feasibility of your proposed endeavor, aligning with the funding organization's priorities and selection criteria"
Create a slogan,Compose a pithy and evocative rallying cry that rallies stakeholders around the brand's mission and inspires action
Write a press release,"Formulate a cogent and engaging account that accurately portrays the crux of a remarkable event or milestone, tailored to capture the attention of media professionals and foster widespread dissemination."
Summarize a movie,"Compose a crystallized yet nuanced pr�cis of a film's narrative odyssey, encapsulating its pivotal plot developments, character metamorphoses, and the profound thematic resonances that reverberate throughout its narrative landscape."
Create a job description,"Formulate a comprehensive outline detailing the key responsibilities, qualifications, and expectations associated with a specific employment role within an organization."
Generate course content,"Craft engaging and immersive learning modules that blend theoretical foundations with hands-on exercises, fostering a dynamic and experiential approach to mastering course content."
Give fashion advice,"Impart expertise on the art of dressing, encompassing trend analysis, color theory, fabric selection, and silhouette flattery."
Write a script for a chatbot,Create an intelligent virtual assistant that can understand and respond to human queries in a contextually appropriate and coherent manner
Give gardening tips,"Share your wealth of knowledge on horticulture, imparting valuable advice on seed germination, transplanting techniques, pruning strategies, companion planting, and creating a harmonious ecosystem within your garden."
